,0
209,110.0
210,2.0
211,13.0
212,46.0
213,12.0
214,1.0
215,5.0
216,44.0
217,2.0
218,11.0
219,8.0
220,2.0
221,2.0
222,6.0
223,1.0
224,31.0
225,108.0
226,3.0
227,5.0
228,4.0
229,3.0
230,15.0
231,3.0
232,6.0
233,8.0
234,2.0
235,16.0
236,2.0
237,2.0
238,2.0
239,38.0
240,5.0
241,9.0
242,15.0
243,41.0
244,6.0
245,7.0
246,61.0
247,44.0
248,1.0
249,3.0
250,26.0
251,6.0
252,3.0
253,1.0
254,16.0
255,1.0
256,25.0
257,4.0
258,45.0
259,31.0
260,2.0
261,1.0
262,2.0
263,3.0
264,40.0
265,2.0
266,9.0
267,28.0
268,20.0
269,2.0
270,55.0
271,16.0
272,5.0
273,1.0
274,15.0
275,3.0
276,8.0
277,8.0
278,4.0
279,2.0
280,47.0
281,4.0
282,1.0
283,12.0
284,68.0
285,1.0
286,2.0
287,9.0
288,5.0
289,25.0
290,69.0
291,6.0
292,2.0
293,4.0
294,1.0
295,1.0
296,50.0
297,8.0
298,112.0
299,120.0
300,2.0
301,3.0
302,7.0
303,3.0
304,4.0
305,3.0
306,1.0
307,46.0
308,130.0
309,1.0
310,3.0
311,27.0
312,3.0
313,44.0
314,5.0
315,20.0
316,3.0
317,2.0
318,5.0
319,2.0
320,49.0
321,14.0
322,7.0
323,48.0
324,107.0
325,17.0
326,5.0
327,43.0
328,27.0
329,5.0
330,2.0
331,9.0
332,16.0
333,1.0
334,2.0
335,36.0
336,31.0
337,2.0
338,5.0
339,61.0
340,5.0
341,6.0
342,72.0
343,14.0
344,82.0
345,23.0
346,10.0
347,9.0
348,3.0
349,6.0
350,1.0
351,2.0
352,3.0
353,24.0
354,6.0
355,5.0
356,2.0
357,20.0
358,10.0
359,7.0
360,1.0
361,6.0
362,12.0
363,7.0
364,4.0
365,12.0
366,11.0
367,10.0
368,6.0
369,18.0
370,5.0
371,13.0
372,7.0
373,5.0
374,1.0
375,1.0
376,1.0
377,1.0
378,1.0
379,12.0
380,3.0
381,65.0
382,4.0
383,2.0
384,8.0
385,2.0
386,2.0
387,1.0
388,56.0
389,34.0
390,10.0
391,1.0
392,43.0
393,90.0
394,7.0
395,8.0
396,6.0
397,7.0
398,91.0
399,1.0
400,1.0
401,6.0
402,3.0
403,3.0
404,3.0
405,3.0
406,68.0
407,6.0
408,1.0
409,1.0
410,2.0
411,20.0
412,1.0
413,5.0
414,3.0
415,1.0
416,11.0
417,20.0
418,23.0
419,47.0
420,15.0
421,25.0
422,14.0
423,2.0
424,2.0
425,6.0
426,32.0
427,43.0
428,3.0
429,1.0
430,1.0
431,9.0
432,3.0
433,2.0
434,3.0
435,3.0
436,9.0
437,2.0
438,14.0
439,1.0
440,8.0
441,49.0
442,4.0
443,38.0
444,4.0
445,63.0
446,50.0
447,1.0
448,59.0
449,8.0
450,2.0
451,9.0
452,15.0
453,35.0
454,3.0
455,55.0
456,13.0
457,19.0
458,32.0
459,2.0
460,2.0
461,53.0
462,78.0
463,2.0
464,7.0
465,41.0
466,24.0
467,18.0
468,1.0
469,1.0
470,52.0
471,6.0
472,1.0
473,9.0
474,12.0
475,9.0
476,2.0
477,2.0
478,1.0
479,46.0
480,1.0
481,1.0
482,6.0
483,5.0
484,2.0
485,9.0
486,1.0
487,1.0
488,41.0
489,104.0
490,16.0
491,3.0
492,37.0
493,1.0
494,4.0
495,2.0
496,2.0
497,2.0
498,5.0
499,3.0
500,9.0
501,35.0
502,8.0
503,1.0
504,2.0
505,1.0
506,89.0
507,108.0
508,7.0
509,25.0
510,36.0
511,116.0
512,7.0
513,20.0
514,5.0
515,94.0
516,5.0
517,2.0
518,18.0
519,1.0
520,1.0
521,2.0
522,3.0
523,8.0
524,1.0
525,9.0
526,10.0
527,38.0
528,33.0
529,21.0
530,8.0
531,5.0
532,19.0
533,8.0
534,6.0
535,3.0
536,3.0
537,2.0
538,3.0
539,1.0
540,2.0
541,27.0
542,5.0
543,29.0
544,3.0
545,3.0
546,5.0
547,4.0
548,1.0
549,39.0
550,5.0
551,2.0
552,2.0
553,14.0
554,61.0
555,1.0
556,3.0
557,1.0
558,1.0
559,2.0
560,2.0
561,18.0
562,17.0
563,1.0
564,1.0
565,5.0
566,2.0
567,1.0
568,38.0
569,26.0
570,12.0
571,1.0
572,1.0
573,11.0
574,67.0
575,36.0
576,36.0
577,1.0
578,3.0
579,15.0
580,9.0
581,18.0
582,3.0
583,16.0
584,51.0
585,9.0
586,2.0
587,7.0
588,82.0
589,1.0
590,2.0
591,34.0
592,7.0
593,17.0
594,3.0
595,6.0
596,5.0
597,1.0
598,25.0
599,3.0
600,1.0
601,8.0
602,3.0
603,20.0
604,17.0
605,2.0
606,1.0
607,81.0
608,14.0
609,47.0
610,7.0
611,2.0
612,9.0
613,17.0
614,78.0
615,13.0
616,5.0
617,74.0
618,57.0
619,1.0
620,1.0
621,22.0
622,2.0
623,1.0
624,8.0
625,14.0
626,9.0
627,4.0
628,12.0
629,3.0
630,4.0
631,19.0
632,43.0
633,2.0
634,9.0
635,2.0
636,7.0
637,1.0
638,2.0
639,4.0
640,11.0
641,2.0
642,7.0
643,11.0
644,11.0
645,72.0
646,32.0
647,36.0
648,6.0
649,4.0
650,12.0
651,23.0
652,5.0
653,2.0
654,62.0
655,10.0
656,12.0
657,9.0
658,2.0
659,20.0
660,3.0
661,3.0
662,2.0
663,39.0
664,57.0
665,4.0
666,2.0
667,67.0
668,28.0
669,16.0
670,3.0
671,86.0
672,5.0
673,12.0
674,40.0
675,16.0
676,24.0
677,3.0
678,119.0
679,2.0
680,1.0
681,1.0
682,1.0
683,1.0
684,1.0
685,7.0
686,5.0
687,11.0
688,35.0
689,6.0
690,2.0
691,2.0
692,1.0
693,15.0
694,3.0
695,7.0
696,4.0
697,78.0
698,2.0
699,91.0
700,7.0
701,6.0
702,1.0
703,9.0
704,16.0
705,5.0
706,2.0
707,22.0
708,11.0
709,4.0
710,47.0
711,5.0
712,8.0
713,3.0
714,63.0
715,7.0
716,1.0
717,5.0
718,25.0
719,107.0
720,3.0
721,3.0
722,14.0
723,1.0
724,1.0
725,7.0
726,7.0
727,3.0
728,5.0
729,30.0
730,2.0
731,8.0
732,6.0
733,4.0
734,3.0
735,6.0
736,19.0
737,3.0
738,17.0
739,4.0
740,2.0
741,11.0
742,32.0
743,1.0
744,69.0
745,7.0
746,3.0
747,5.0
748,12.0
749,3.0
750,9.0
751,26.0
752,6.0
753,6.0
754,19.0
755,75.0
756,4.0
757,43.0
758,27.0
759,93.0
760,3.0
761,2.0
762,15.0
763,58.0
764,5.0
765,55.0
766,13.0
767,2.0
768,5.0
769,50.0
770,40.0
771,19.0
772,38.0
773,41.0
774,3.0
775,2.0
776,4.0
777,7.0
778,1.0
779,10.0
780,9.0
781,3.0
782,1.0
783,1.0
784,19.0
785,5.0
786,6.0
787,1.0
788,32.0
789,95.0
790,38.0
791,70.0
792,11.0
793,4.0
794,38.0
795,1.0
796,28.0
797,1.0
798,51.0
799,61.0
800,67.0
801,79.0
802,68.0
803,14.0
804,4.0
805,1.0
806,11.0
807,34.0
808,64.0
809,93.0
810,2.0
811,91.0
812,79.0
813,111.0
814,87.0
815,87.0
816,39.0
817,17.0
818,59.0
819,1.0
820,35.0
821,85.0
822,27.0
823,30.0
824,3.0
825,24.0
826,68.0
827,45.0
828,113.0
829,77.0
830,3.0
831,77.0
832,22.0
833,75.0
834,15.0
835,31.0
836,39.0
837,9.0
838,87.0
839,2.0
840,24.0
841,9.0
842,5.0
843,12.0
844,33.0
845,2.0
846,4.0
847,2.0
848,8.0
849,26.0
850,18.0
851,5.0
852,3.0
853,29.0
854,2.0
855,6.0
856,10.0
857,1.0
858,4.0
859,2.0
860,5.0
861,31.0
862,2.0
863,12.0
864,9.0
865,96.0
866,67.0
867,85.0
868,4.0
869,15.0
870,8.0
871,1.0
872,2.0
873,1.0
874,6.0
875,4.0
876,3.0
877,29.0
878,31.0
879,47.0
880,4.0
881,19.0
882,2.0
883,1.0
884,37.0
885,16.0
886,1.0
887,10.0
888,10.0
889,2.0
890,136.0
891,4.0
892,6.0
893,13.0
894,25.0
895,4.0
896,1.0
897,37.0
898,6.0
899,38.0
900,57.0
901,96.0
902,7.0
903,5.0
904,2.0
905,25.0
906,3.0
907,14.0
908,7.0
909,5.0
910,1.0
911,2.0
912,1.0
913,1.0
914,21.0
915,13.0
916,9.0
917,10.0
918,1.0
919,2.0
920,4.0
921,10.0
922,9.0
923,8.0
924,22.0
925,3.0
926,30.0
927,1.0
928,2.0
929,1.0
930,15.0
931,56.0
932,5.0
933,6.0
934,5.0
935,2.0
936,1.0
937,6.0
938,1.0
939,46.0
940,27.0
941,57.0
942,2.0
943,7.0
944,47.0
945,42.0
946,4.0
947,1.0
948,38.0
949,2.0
950,5.0
951,8.0
952,1.0
953,26.0
954,4.0
955,11.0
956,6.0
957,58.0
958,1.0
959,2.0
960,1.0
961,1.0
962,11.0
963,2.0
964,25.0
965,41.0
966,24.0
967,1.0
968,5.0
969,1.0
970,3.0
971,1.0
972,2.0
973,55.0
974,2.0
975,2.0
976,10.0
977,6.0
978,3.0
979,6.0
980,1.0
981,4.0
982,1.0
983,3.0
984,2.0
985,5.0
986,2.0
987,3.0
988,2.0
989,27.0
990,11.0
991,2.0
992,3.0
993,16.0
994,16.0
995,38.0
996,18.0
997,11.0
998,1.0
999,6.0
1000,3.0
1001,3.0
1002,32.0
1003,15.0
1004,7.0
1005,1.0
1006,5.0
1007,4.0
1008,7.0
1009,85.0
1010,1.0
1011,16.0
1012,2.0
1013,2.0
1014,4.0
1015,7.0
1016,13.0
1017,4.0
1018,2.0
1019,3.0
1020,12.0
1021,3.0
1022,79.0
1023,48.0
1024,33.0
1025,26.0
1026,3.0
1027,2.0
1028,47.0
1029,12.0
1030,3.0
1031,7.0
1032,3.0
1033,10.0
1034,28.0
1035,17.0
1036,1.0
1037,13.0
1038,78.0
1039,3.0
1040,1.0
1041,2.0
1042,1.0
1043,5.0
1044,20.0
1045,6.0
1046,33.0
1047,17.0
1048,8.0
1049,35.0
1050,4.0
1051,4.0
1052,9.0
1053,23.0
1054,27.0
1055,21.0
1056,7.0
1057,48.0
1058,7.0
1059,6.0
1060,86.0
1061,2.0
1062,127.0
1063,3.0
1064,7.0
1065,12.0
1066,3.0
1067,30.0
1068,8.0
1069,36.0
1070,9.0
1071,16.0
1072,4.0
1073,8.0
1074,16.0
1075,3.0
1076,63.0
1077,7.0
1078,2.0
1079,7.0
1080,19.0
1081,4.0
1082,105.0
1083,49.0
1084,11.0
1085,13.0
1086,13.0
1087,15.0
1088,2.0
1089,11.0
1090,42.0
1091,10.0
1092,72.0
1093,6.0
1094,16.0
1095,122.0
1096,3.0
1097,32.0
1098,67.0
1099,2.0
1100,1.0
1101,1.0
1102,2.0
1103,1.0
1104,1.0
1105,5.0
1106,3.0
1107,3.0
1108,7.0
1109,6.0
1110,4.0
1111,11.0
1112,12.0
1113,16.0
1114,19.0
1115,46.0
1116,3.0
1117,15.0
1118,2.0
1119,2.0
1120,3.0
1121,12.0
1122,3.0
1123,2.0
1124,1.0
1125,3.0
1126,7.0
1127,5.0
1128,4.0
1129,9.0
1130,3.0
1131,77.0
1132,3.0
1133,27.0
1134,1.0
1135,16.0
1136,7.0
1137,66.0
1138,30.0
1139,4.0
1140,2.0
1141,3.0
1142,1.0
1143,5.0
1144,10.0
1145,6.0
1146,6.0
1147,9.0
1148,17.0
1149,89.0
1150,1.0
1151,2.0
1152,33.0
1153,1.0
1154,75.0
1155,16.0
1156,15.0
1157,2.0
1158,3.0
1159,34.0
1160,2.0
1161,6.0
1162,14.0
1163,30.0
1164,3.0
1165,10.0
1166,15.0
1167,5.0
1168,12.0
1169,55.0
1170,1.0
1171,3.0
1172,1.0
1173,1.0
1174,2.0
1175,1.0
1176,60.0
1177,28.0
1178,3.0
1179,1.0
1180,2.0
1181,7.0
1182,19.0
1183,4.0
1184,8.0
1185,70.0
1186,1.0
1187,4.0
1188,1.0
1189,3.0
1190,1.0
1191,7.0
1192,15.0
1193,4.0
1194,2.0
1195,21.0
1196,63.0
1197,21.0
1198,39.0
1199,4.0
1200,6.0
1201,79.0
1202,11.0
1203,4.0
1204,2.0
1205,7.0
1206,1.0
1207,1.0
1208,5.0
1209,1.0
1210,4.0
1211,56.0
1212,2.0
1213,2.0
1214,3.0
1215,16.0
1216,38.0
1217,5.0
1218,6.0
1219,42.0
1220,15.0
1221,13.0
1222,121.0
1223,126.0
1224,9.0
1225,37.0
1226,2.0
1227,21.0
1228,72.0
1229,9.0
1230,13.0
1231,3.0
1232,1.0
1233,116.0
1234,2.0
1235,10.0
1236,9.0
1237,6.0
1238,27.0
1239,39.0
1240,17.0
1241,1.0
1242,1.0
1243,1.0
1244,1.0
1245,4.0
1246,4.0
1247,17.0
1248,1.0
1249,3.0
1250,33.0
1251,81.0
1252,12.0
1253,1.0
1254,1.0
1255,3.0
1256,7.0
1257,13.0
1258,115.0
1259,1.0
1260,4.0
1261,62.0
1262,17.0
1263,5.0
1264,7.0
1265,2.0
1266,53.0
1267,6.0
1268,3.0
1269,82.0
1270,120.0
1271,111.0
1272,2.0
1273,15.0
1274,13.0
1275,88.0
1276,3.0
1277,2.0
1278,14.0
1279,6.0
1280,6.0
1281,2.0
1282,4.0
1283,9.0
1284,35.0
1285,2.0
1286,1.0
1287,10.0
1288,39.0
1289,2.0
1290,2.0
1291,2.0
1292,11.0
1293,12.0
1294,4.0
1295,3.0
1296,5.0
1297,93.0
1298,2.0
1299,88.0
1300,13.0
1301,2.0
1302,20.0
1303,19.0
1304,4.0
1305,3.0
1306,77.0
1307,5.0
1308,2.0
1309,48.0
1310,1.0
1311,60.0
1312,48.0
1313,2.0
1314,2.0
1315,2.0
1316,112.0
1317,2.0
1318,28.0
1319,2.0
1320,20.0
1321,11.0
1322,74.0
1323,3.0
1324,2.0
1325,1.0
1326,2.0
1327,4.0
1328,22.0
1329,2.0
1330,5.0
1331,6.0
1332,3.0
1333,19.0
1334,5.0
1335,8.0
1336,63.0
1337,2.0
1338,3.0
1339,2.0
1340,6.0
1341,2.0
1342,60.0
1343,4.0
1344,82.0
1345,5.0
1346,19.0
1347,5.0
1348,6.0
1349,44.0
1350,17.0
1351,2.0
1352,11.0
1353,84.0
1354,6.0
1355,3.0
1356,7.0
1357,65.0
1358,1.0
1359,3.0
1360,6.0
1361,2.0
1362,5.0
1363,23.0
1364,66.0
1365,94.0
1366,100.0
1367,55.0
1368,86.0
1369,3.0
1370,6.0
1371,1.0
1372,47.0
1373,44.0
1374,7.0
1375,36.0
1376,28.0
1377,53.0
1378,22.0
1379,52.0
1380,68.0
1381,2.0
1382,5.0
1383,3.0
1384,3.0
1385,4.0
1386,56.0
1387,7.0
1388,27.0
1389,1.0
1390,6.0
1391,45.0
1392,14.0
1393,4.0
1394,8.0
1395,9.0
1396,2.0
1397,2.0
1398,9.0
1399,1.0
1400,3.0
1401,14.0
1402,5.0
1403,3.0
1404,21.0
1405,61.0
1406,8.0
1407,61.0
1408,79.0
1409,80.0
1410,4.0
1411,4.0
1412,2.0
1413,7.0
1414,3.0
1415,3.0
1416,6.0
1417,25.0
1418,2.0
1419,3.0
1420,2.0
1421,7.0
1422,6.0
1423,6.0
1424,109.0
1425,14.0
1426,25.0
1427,2.0
1428,3.0
1429,34.0
1430,9.0
1431,5.0
1432,19.0
1433,3.0
1434,28.0
1435,9.0
1436,4.0
1437,17.0
1438,2.0
1439,32.0
1440,25.0
1441,4.0
1442,26.0
1443,1.0
1444,96.0
1445,4.0
1446,71.0
1447,12.0
1448,10.0
1449,7.0
1450,3.0
1451,11.0
1452,6.0
1453,3.0
1454,106.0
1455,13.0
1456,54.0
1457,8.0
1458,3.0
1459,29.0
1460,8.0
1461,10.0
1462,115.0
1463,19.0
1464,1.0
1465,3.0
1466,1.0
1467,8.0
1468,37.0
1469,7.0
1470,6.0
1471,7.0
1472,58.0
1473,3.0
1474,7.0
1475,2.0
1476,85.0
1477,1.0
1478,107.0
1479,2.0
1480,54.0
1481,4.0
1482,2.0
1483,1.0
1484,8.0
1485,1.0
1486,15.0
1487,3.0
1488,11.0
1489,69.0
1490,2.0
1491,1.0
1492,12.0
1493,15.0
1494,3.0
1495,4.0
1496,12.0
1497,42.0
1498,9.0
1499,75.0
1500,15.0
1501,1.0
1502,17.0
1503,3.0
1504,1.0
1505,18.0
1506,2.0
1507,15.0
1508,8.0
1509,8.0
1510,3.0
1511,6.0
1512,7.0
1513,5.0
1514,6.0
1515,23.0
1516,1.0
1517,1.0
1518,4.0
1519,24.0
1520,6.0
1521,1.0
1522,2.0
1523,45.0
1524,46.0
1525,10.0
1526,3.0
1527,82.0
1528,31.0
1529,3.0
1530,26.0
1531,7.0
1532,2.0
1533,30.0
1534,5.0
1535,1.0
1536,15.0
1537,29.0
1538,22.0
1539,22.0
1540,86.0
1541,16.0
1542,1.0
1543,18.0
1544,3.0
1545,1.0
1546,1.0
1547,34.0
1548,7.0
1549,6.0
1550,2.0
1551,26.0
1552,4.0
1553,2.0
1554,1.0
1555,11.0
1556,9.0
1557,13.0
1558,2.0
1559,4.0
1560,16.0
1561,3.0
1562,18.0
1563,9.0
1564,10.0
1565,55.0
1566,12.0
1567,8.0
1568,1.0
1569,60.0
1570,13.0
1571,1.0
1572,24.0
1573,2.0
1574,4.0
1575,3.0
1576,6.0
1577,5.0
1578,6.0
1579,91.0
1580,5.0
1581,3.0
1582,18.0
1583,22.0
1584,4.0
1585,17.0
1586,12.0
1587,5.0
1588,2.0
1589,5.0
1590,23.0
1591,37.0
1592,10.0
1593,11.0
1594,10.0
1595,7.0
1596,6.0
1597,31.0
1598,12.0
1599,4.0
1600,19.0
1601,6.0
1602,1.0
1603,6.0
1604,5.0
1605,14.0
1606,13.0
1607,20.0
1608,3.0
1609,7.0
1610,12.0
1611,12.0
1612,5.0
1613,5.0
1614,14.0
1615,1.0
1616,13.0
1617,3.0
1618,16.0
1619,59.0
1620,7.0
1621,11.0
1622,15.0
1623,21.0
1624,3.0
1625,7.0
1626,14.0
1627,9.0
1628,8.0
1629,21.0
1630,5.0
1631,23.0
1632,25.0
1633,22.0
1634,15.0
1635,6.0
1636,18.0
1637,99.0
1638,6.0
1639,16.0
1640,26.0
1641,27.0
1642,1.0
1643,3.0
1644,7.0
1645,81.0
1646,4.0
1647,10.0
1648,8.0
1649,4.0
1650,25.0
1651,15.0
1652,34.0
1653,3.0
1654,3.0
1655,4.0
1656,7.0
1657,6.0
1658,16.0
1659,23.0
1660,3.0
1661,6.0
1662,29.0
1663,2.0
1664,12.0
1665,12.0
1666,4.0
1667,12.0
1668,11.0
1669,7.0
1670,3.0
1671,1.0
1672,19.0
1673,13.0
1674,1.0
1675,5.0
1676,23.0
1677,24.0
1678,34.0
1679,17.0
1680,64.0
1681,7.0
1682,2.0
1683,5.0
1684,6.0
1685,81.0
1686,1.0
1687,7.0
1688,5.0
1689,11.0
1690,30.0
1691,6.0
1692,11.0
1693,10.0
1694,52.0
1695,13.0
1696,65.0
1697,6.0
1698,2.0
1699,3.0
1700,23.0
1701,19.0
1702,4.0
1703,109.0
1704,44.0
1705,2.0
1706,38.0
1707,6.0
1708,13.0
1709,24.0
1710,19.0
1711,4.0
1712,33.0
1713,5.0
1714,16.0
1715,9.0
1716,9.0
1717,3.0
1718,12.0
1719,1.0
1720,10.0
1721,126.0
1722,5.0
1723,50.0
1724,23.0
1725,2.0
1726,11.0
1727,5.0
1728,16.0
1729,7.0
1730,3.0
1731,5.0
1732,26.0
1733,15.0
1734,3.0
1735,1.0
1736,8.0
1737,7.0
1738,4.0
1739,3.0
1740,33.0
1741,2.0
1742,12.0
1743,33.0
1744,36.0
1745,5.0
1746,3.0
1747,11.0
1748,17.0
1749,11.0
1750,28.0
1751,10.0
1752,12.0
1753,1.0
1754,11.0
1755,50.0
1756,1.0
1757,3.0
1758,24.0
1759,97.0
1760,15.0
1761,2.0
1762,21.0
1763,30.0
1764,3.0
1765,5.0
1766,5.0
1767,12.0
1768,14.0
1769,18.0
1770,13.0
1771,5.0
1772,26.0
1773,13.0
1774,1.0
1775,18.0
1776,3.0
1777,4.0
1778,1.0
1779,10.0
1780,24.0
1781,4.0
1782,4.0
1783,3.0
1784,4.0
1785,7.0
1786,5.0
1787,7.0
1788,40.0
1789,4.0
1790,74.0
1791,3.0
1792,13.0
1793,46.0
1794,13.0
1795,4.0
1796,2.0
1797,3.0
1798,7.0
1799,8.0
1800,2.0
1801,2.0
1802,3.0
1803,51.0
1804,13.0
1805,5.0
1806,28.0
1807,6.0
1808,2.0
1809,1.0
1810,5.0
1811,11.0
1812,2.0
1813,1.0
1814,1.0
1815,1.0
1816,1.0
1817,1.0
1818,1.0
1819,15.0
1820,109.0
1821,30.0
1822,2.0
1823,3.0
1824,7.0
1825,15.0
1826,17.0
1827,1.0
1828,125.0
1829,2.0
1830,23.0
1831,17.0
1832,5.0
1833,6.0
1834,1.0
1835,3.0
1836,22.0
1837,13.0
1838,3.0
1839,13.0
1840,55.0
1841,4.0
1842,5.0
1843,30.0
1844,63.0
1845,1.0
1846,12.0
1847,8.0
1848,19.0
1849,2.0
1850,4.0
1851,5.0
1852,18.0
1853,7.0
1854,3.0
1855,2.0
1856,6.0
1857,11.0
1858,1.0
1859,1.0
1860,11.0
1861,4.0
1862,3.0
1863,80.0
1864,6.0
1865,2.0
1866,18.0
1867,16.0
1868,29.0
1869,7.0
1870,9.0
1871,17.0
1872,7.0
1873,5.0
1874,1.0
1875,2.0
1876,56.0
1877,6.0
1878,4.0
1879,20.0
1880,47.0
1881,3.0
1882,3.0
1883,18.0
1884,4.0
1885,49.0
1886,16.0
1887,13.0
1888,4.0
1889,12.0
1890,6.0
1891,6.0
1892,4.0
1893,6.0
1894,2.0
1895,2.0
1896,4.0
1897,11.0
1898,29.0
1899,2.0
1900,24.0
1901,1.0
1902,10.0
1903,97.0
1904,14.0
1905,2.0
1906,1.0
1907,65.0
1908,2.0
1909,2.0
1910,10.0
1911,33.0
1912,23.0
1913,17.0
1914,6.0
1915,2.0
1916,1.0
1917,4.0
1918,19.0
1919,3.0
1920,45.0
1921,2.0
1922,2.0
1923,2.0
1924,3.0
1925,12.0
1926,3.0
1927,2.0
1928,17.0
1929,1.0
1930,1.0
1931,6.0
1932,7.0
1933,4.0
1934,16.0
1935,8.0
1936,2.0
1937,9.0
1938,21.0
1939,12.0
1940,7.0
1941,9.0
1942,4.0
1943,12.0
1944,3.0
1945,7.0
1946,2.0
1947,47.0
1948,2.0
1949,2.0
1950,6.0
1951,3.0
1952,5.0
1953,39.0
1954,2.0
1955,13.0
1956,11.0
1957,4.0
1958,2.0
1959,53.0
1960,1.0
1961,13.0
1962,26.0
1963,27.0
1964,4.0
1965,31.0
1966,77.0
1967,3.0
1968,20.0
1969,36.0
1970,1.0
1971,1.0
1972,3.0
1973,10.0
1974,4.0
1975,22.0
1976,1.0
1977,15.0
1978,1.0
1979,9.0
1980,7.0
1981,6.0
1982,13.0
1983,3.0
1984,4.0
1985,1.0
1986,2.0
1987,6.0
1988,11.0
1989,6.0
1990,8.0
1991,11.0
1992,2.0
1993,4.0
1994,1.0
1995,6.0
1996,8.0
1997,10.0
1998,49.0
1999,3.0
2000,6.0
2001,5.0
2002,18.0
2003,3.0
2004,1.0
2005,2.0
2006,2.0
2007,2.0
2008,4.0
2009,8.0
2010,2.0
2011,116.0
2012,5.0
2013,38.0
2014,20.0
2015,12.0
2016,58.0
2017,13.0
2018,3.0
2019,5.0
2020,15.0
2021,69.0
2022,2.0
2023,2.0
2024,3.0
2025,100.0
2026,85.0
2027,2.0
2028,4.0
2029,2.0
2030,1.0
2031,2.0
2032,3.0
2033,1.0
2034,5.0
2035,2.0
2036,2.0
2037,1.0
2038,7.0
2039,1.0
2040,43.0
2041,4.0
2042,2.0
2043,1.0
2044,1.0
2045,1.0
2046,1.0
2047,1.0
2048,1.0
2049,1.0
2050,1.0
2051,1.0
2052,1.0
2053,1.0
2054,1.0
2055,1.0
2056,1.0
2057,1.0
2058,1.0
2059,1.0
2060,2.0
2061,4.0
2062,4.0
2063,1.0
2064,5.0
2065,3.0
2066,5.0
2067,9.0
2068,3.0
2069,32.0
2070,23.0
2071,3.0
2072,27.0
2073,11.0
2074,9.0
2075,18.0
2076,3.0
2077,2.0
2078,95.0
2079,9.0
2080,9.0
2081,58.0
2082,46.0
2083,4.0
2084,27.0
2085,33.0
2086,46.0
2087,8.0
2088,2.0
2089,1.0
2090,3.0
2091,3.0
2092,4.0
2093,2.0
2094,26.0
2095,3.0
2096,9.0
2097,1.0
2098,1.0
2099,1.0
2100,1.0
2101,3.0
2102,1.0
2103,1.0
2104,1.0
2105,6.0
2106,1.0
2107,1.0
2108,5.0
2109,1.0
2110,1.0
2111,3.0
2112,1.0
2113,1.0
2114,25.0
2115,2.0
2116,3.0
2117,15.0
2118,4.0
2119,15.0
2120,4.0
2121,1.0
2122,4.0
2123,9.0
2124,4.0
2125,4.0
2126,70.0
2127,1.0
2128,2.0
2129,17.0
2130,1.0
2131,1.0
2132,1.0
2133,3.0
2134,3.0
2135,12.0
2136,3.0
2137,3.0
2138,1.0
2139,3.0
2140,2.0
2141,18.0
