,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
19,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,2.46,,,,,,,,,,,,,,,,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,1.5,7.72,,,,,,,,,,,,,,,,3.35,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,,,,,,-4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,,4.41,,,,,2.64,,,,,,,,,,,,,,,0.0,-2.62,,,,,,,,,,5.85,,,,,,,,,,,,,,,,,4.39,-2.52,,-1.46
24,,,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,7.28,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,5.65,,,,,,,,4.59,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,-2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,-4.81,,,,,,,,,,,,,,,,-5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.42,,,,,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,-7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,10.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59,,,,,,,,,,,,10.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,-6.54,,,,,,,,,,,,,,,,0.0,-2.8,,,,,,,,,,,,,,3.33,,,,,,0.0,,,,,,,,,,,,,,,,-3.7,,,,,,,,,,,,,,,,5.53,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,-1.99,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
32,,,,,,,,,,,,,,,,,,,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,,,,,,,,,,,,,,,,,,,,,,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.11,,-9.07,,,,,,,,,,,,,,,,,,,,14.88,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,-4.19,,,,,,,,,,,,,,,,4.84,2.52,,,,,,,,,,,,,,6.79,,,5.41,,,,,,,,,,7.07,,,,,6.34,-2.44,,,1.71,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,10.0,5.73,,-5.77,,,,,,,-3.66,,,,,-5.04,,,,,,,6.14,5.45,,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.28
36,,,,,,,,,,,,,,,,,,,-4.13,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,0.98,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,-3.7,,,,,,,,,,,,,,,,-9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,-3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,-10.0,,,,,,-5.77,,,,,-1.3,3.01,,,,-10.0,,-2.56,,,6.59,1.34,,,3.78,,,2.8,,,3.17,,,,,,,,,2.17,0.0,4.39,2.4,,,3.92,0.0,,,,,-3.41,,,2.52,2.36,-10.0,-10.0,0.61,10.0,5.3,2.15,-5.73,,5.69,,-11.34,3.05,-5.89,,2.97,,,,,-1.1,1.42,,,,,1.28,,-1.18,-1.46,-0.17999999999999972,,,3.21,1.5,,,,,,-1.59,0.93,-1.38,2.7,4.35,3.58,0.85,,,1.71,,0.45,,,1.3,,-0.37,,-10.0,,3.25,-2.24,0.93,3.05,2.54,,-5.26,,,-3.29,,1.75,,,,-1.91,0.0,,,,,,0.57,10.0,,0.43,3.01,1.22,2.97,5.89,0.33,-1.91,1.75,1.75,3.62,1.06
40,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,-2.28,,,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53,,,,,,,,,,4.72,,,,,,,,,,,,,,,,,5.43,,,,,,,,,,,,,,,,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,-6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,,,,,,,,-2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,3.62,,,,,,,,,,,1.83,,,,,,,,,10.0,,,,,,,-5.57,-7.03,,,,,,,,,,,,,,3.41,,,-5.16,,,,,,,,,,,,,,,,,,,1.22,,,,,,4.88,,,,,,9.07,,,,,,,4.35,,,5.89,,4.76,,,5.0,,,,,,5.57,,6.42,,,,,,,,,,,,,,,,,,,,4.84,,,,,,,,4.55,,,,,,,,,-4.11,,,,,8.66,,-6.34,2.97,10.0,5.16,4.55,-5.93,3.09,10.0
45,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,5.75,,0.0,4.57,19.490000000000002,,0.0,,,0.0,0.0,0.0,,5.02,,2.91,,0.0,,0.87,6.97,4.61,7.66,,-3.19,3.96,,,,,4.13,5.18,0.0,,5.63,4.21,,,-0.69,,,0.0,0.0,,3.8,,,1.69,,,-3.96,4.45,,0.0,0.0,1.75,1.36,3.19,,1.24,,,13.29,-2.58,,,4.78,0.0,-3.64,3.72,,-5.06,14.469999999999999,7.54,6.26,5.59,0.0,0.0,,0.0,4.65,3.03,,3.01,4.53,,,6.24,0.0,6.0,7.09,7.64,7.91,,3.43,-6.08,,1.81,2.78,9.59,1.79,,0.0,8.92,0.0,,-4.09,2.26,0.0,,8.11,3.07,1.26,5.73,4.63,7.46,,3.52,6.81,0.0,3.35,,6.57,0.0,5.47,,-4.74,5.98,,0.0,-2.58,4.02,7.01,6.06,9.04,,0.0,0.0,3.48,4.49,5.75,0.0,2.7,2.46
47,,,,,,,,,,,,,,,,,,,6.3,,-5.53,,,,,,,6.38,,,,9.31,,,5.12,,,,,,,,,,,,9.15,5.28,3.54,,,,3.5,-3.09,,,,,,,,2.72,,,,,,3.46,,,,6.18,,,,,,6.06,,,,,,0.0,,,,,,,5.37,,5.61,,,4.47,5.73,,6.3,,,,,4.43,6.75,6.83,5.69,3.41,,0.0,10.0,,,10.0,5.49,,5.61,3.54,,,,,,,,2.85,4.51,,-1.34,,,,,4.84,,,,-3.29,,,,,,,-3.25,,,3.74,2.72,5.73,-3.33,,,0.0,,,,-4.92
48,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,6.74,,,,,,,,,,,,,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,-7.73,,,,,,,,,,,,,,,,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,-6.79,,,,,-9.6,,,,,,-7.69,,,,,,,,,,,,,,,,-8.66,-7.85,,-6.18,,,,,,,,-9.84,,,,-6.14,,,-9.43,,,,,,,-7.32,,,,,,,,,,,,-4.56,,,,,,,,,-5.65,,,,,,,,,,,,,,,,,,,,,,,,-6.63,,-8.13,,,,,,,,,,,,,,,,,,,,-6.3,,,,,-4.68,,,,,,,,,,,,,,,,,,,,,,,-5.74,,,
54,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,,-10.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,,,0.0,,,,,,9.41,,,,,,,,,0.0,,,,0.0,,,3.35,0.0,,,0.0
56,,,,,,,,,,,,,,,,,,,-3.11,,,,,,,,,,,,,,,,-2.42,0.0,,,,,,,,,,,,,,-2.67,,,,,,0.0,,,,,,,,,,2.73,,,,,,-7.27,,,,,,,,,,,,,,,,-5.28,-6.71,,,,2.42,,,,,,,,,,,,-6.46,,2.67,,,,,0.0,,,,,,,2.36,,6.65,,,,,,3.98,-2.67,,,,,,,,,,1.68,,,,,,,,,,,,,,2.24,,,,,,
57,,,,,,,,,,,,,,,,,,,5.22,,,,,,,,,,,,,,,,-3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,8.52,,-14.190000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,-3.66,,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,-2.89,,,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,-8.19,,,,,,,,,,,,,,,,-5.67,,,,,,,,,,,,,,,8.48,,,,,,,,,,,,,,,,,,,,,,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.93,,,,,,,,,,-8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,-3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,-6.22,,-8.78,,,,,4.67,,,-9.98,,,,,,3.41,-4.67,,,,,,,,,,,,,,-5.16,,,,,,,,,,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,-4.53,,-5.96,,,,,,,,,,,,,,,,,,,,0.0,,,-2.15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,-6.59,,,,,-4.96,,,,,-6.59,0.45,,1.75,,,,,2.2,,-6.73,4.04,,,0.91,,,3.31,7.85,-3.86,,,,,,,,,,,,,1.0,,,,,,-5.26,,,,,,-5.3,,,-6.97,3.27,,,,,,3.62,,,,,,,,,7.03,,-4.98,-5.73,,,0.0,0.0,-1.04,,,,,,-8.78,,,3.76,,,,,,-4.21,4.74,,4.0,,,,,2.85,,,,,,,4.41,,2.07,,,,6.12,,-2.34,2.5,,,,-3.7,,,,,,4.92,,,,,,,,,,,,,-5.67,2.5,-3.98,-5.28,-7.76,-1.71,3.29,-9.8
